bench;k;strategy;num_traces;num_classes;num_covered;time_split;time_class;time_total;num_synth
AT1;1;long_bs;100;4;3;0.0001;0.3264;0.3265;3
AT1;2;long_bs;100;16;15;0.0004;0.2827;0.2831;7
AT1;3;long_bs;100;64;63;0.0045;1.2671;1.2716;11
AT1;4;long_bs;100;208;207;0.0725;1.8542;1.9267;13
AT2;1;long_bs;100;4;3;0.0002;0.0695;0.0697;3
AT2;2;long_bs;100;16;15;0.0018;0.2921;0.2939;7
AT2;3;long_bs;100;64;63;0.1189;1.7733;1.8922;11
AT2;4;long_bs;100;208;207;4.7904;2.7594;7.5498;13
AT3;1;long_bs;100;2;1;0.0;0.025;0.0251;2
AT3;2;long_bs;100;4;3;0.0001;0.172;0.172;3
AT3;3;long_bs;100;8;7;0.0002;0.5027;0.5029;5
AT3;4;long_bs;100;12;11;0.0004;0.7572;0.7576;6
AT5;1;long_bs;100;4;3;0.0001;0.0384;0.0385;3
AT5;2;long_bs;100;10;9;0.0005;0.139;0.1394;6
AT5;3;long_bs;100;28;27;0.0024;3.2938;3.2962;13
AT5;4;long_bs;100;82;81;0.03;11.0674;11.0973;28
AFC1;1;long_bs;100;4;2;0.0001;0.3288;0.3289;4
AFC1;2;long_bs;100;10;8;0.0006;4.0164;4.017;6
AFC1;3;long_bs;100;28;26;0.0032;18.428;18.4312;13
AFC1;4;long_bs;100;82;80;0.0313;65.8882;65.9195;29
